História Zak
1 - (0:0, 2:0)
17 - (31:47, 38:47)
24 - (46:41, 47:10)
29 - (51:13, 52:49)
31 - (53:35, 54:29)
37 - (59:26, 59:56)
39 - (1:0:14, 1:0:18)
41 - (1:0:41, 1:01:44)
44 - (1:02:59, 1:03:26)
46 - (1:04:05, 1:04:30)
54 - (1:10:31, 1:10:40)
76 - (1:25:53, 1:26:51)
91 - (1:37:24, 1:38:0)
93 - (1:38:43, 1:39:43)
95 - (1:40:46, 1:41:18)
97 - (1:42:10, 1:42:20)
101 - (1:45:40, 1:46:47)
103 - (1:47:54, 1:48:43)
105 - (1:49:09, 1:50:30)
107 - (1:51:31, 1:52:46)
111 - (1:54:52, 1:55:54)
115 - (1:57:15, 1:58:42)
138 - (2:17:37, 2:17:59)
140 - (2:18:15, 2:18:20)
142 - (2:19:52, 2:22:3)
145 - (2:24:6, 2:25:15)
147 - (2:26:12, 2:28:37)
151 - (2:30:56, 2:31:51)
160 - (2:41:2, 2:45:20)

História Advogado
2 - (2:3, 2:25)
9 - (4:21, 4:38)
12 - (5:13, 9:36)
19 - (40:12, 40:51)
23 - (45:04, 46:38)
32 - (54:32, 55:50)
56 - (1:10:54, 1:11:30)
66 - (1:17:34, 1:18:36)
68 - (1:18:57, 1:19:16)
70 - (1:19:45, 1:20:24)
73 - (1:24:9, 1:24:25)
88 - (1:35:45, 1:36:08)
99 - (1:43:26, 1:44:1)
117 - (2:1:26, 2:1:37)
121 - (2:4:7, 2:4:13)
129 - (2:9:23, 2:10:9)
135 - (2:14:26, 2:15:2)
137 - (2:16:11, 2:17:35)
148 - (2:28:39, 2:29:16)
154 - (2:37:3, 2:38:4)
157 - (2:38:49, 2:39:58)
159 - (2:40:30, 2:41:0)

História Jornalista
3 - (2:29, 2:49)
7 - (3:59, 4:8)
14 - (14:49, 19:23)
21 - (41:24, 42:33)
25 - (47:13, 48:26)
27 - (48:50, 49:37)
33 - (55:53, 56:20)
35 - (57:14, 58:02)
49 - (1:6:9, 1:6:50)
58 - (1:11:53, 1:12:33)
62 - (1:16:12, 1:16:16)
64 - (1:16:28, 1:16:34)
71 - (1:20:26, 1:21:48)
74 - (1:24:27, 1:25:51)
77 - (1:26:53, 1:28:29) - shared
79 - (1:28:38, 1:29:19)
10 - (1:45:2, 1:45:36)
102 - (1:47:18, 1:47:52)
106 - (1:50:32, 1:51:29)
108 - (1:52:48, 1:53:31)
110 - (1:54:2, 1:54:50)
113 - (1:56:8, 1:56:22)
119 - (2:2:41, 2:3:22)
124 - (2:5:39, 2:6:1)
126 - (2:6:40, 2:7:12)
128 - (2:8:48, 2:9:21)
130 - (2:10:11, 2:10:56)
132 - (2:11:50, 2:12:41)
134 - (2:13:56, 2:14:24)
136 - (2:15:4, 2:16:9)
149 - (2:29:18, 2:30:13)
155 - (2:38:6, 2:38:20)

História Timothy Cavandishk
4  - (2:54, 3:6)
8 - (4:11, 4:18)
15 - (19:25, 24:36)
22 - (42:37, 45:02)
30 - (52:52, 53:32)
36 - (58:05, 59:23)
42 - (1:01:46, 1:02:10)
48 - (1:5:11, 1:6:7)
50 - (1:6:52, 1:8:24)
52 - (1:8:54, 1:9:49)
59 - (1:12:33, 1:14:25)
82 - (1:33:15, 1:33:22)
85 - (1:34:13, 1:35:07)
89 - (1:36:10, 1:36:50)
120 - (2:3:24, 2:4:5)
123 - (2:4:16, 2:5:37)
125 - (2:6:3, 2:6:38)
127 - (2:7:14, 2:8:46)
131 - (2:10:58, 2:11:48)
133 - (2:12:42, 2:13:54)
156 - (2:38:22, 2:38:47)

História Robert Frobisher
5 - (3:10, 3:34)
11 - (4:59, 5:11)
13 - (9:39, 14:47)
20 - (40:53, 41:35)
28 - (49:40, 51:11)
34 - (56:24, 57:11)
61 - (1:14:50, 1:16:10)
78 - (1:28:31, 1:28:38)
80 - (1:29:21, 1:32:30)
83 - (1:33:24, 1:33:34)
87 - (1:35:34, 1:35:43)
90 - (1:36:52, 1:37:22)
98 - (1:42:22, 1:43:24)
112 - (1:55:56, 1:56:7)
118 - (2:1:39, 2:2:39)
144 - (2:23:54, 2:24:4)
150 - (2:30:15, 2:30:54)
152 - (2:31:55, 2:33:36)

História Sonmi-451
6 - (3:37, 3:55)
10 - (4:41, 4:56)
16 - (24:38, 31:44)
18 - (38:50, 40:9)
26 - (48:29, 48:47)
38 - (59:58, 1:0:12)
40 - (1:0:20, 1:0:39)
43 - (1:02:12, 1:2:57)
45 - (1:03:28, 1:4:3)
47 - (1:04:32, 1:5:9)
51 - (1:8:26, 1:8:52)
53 - (1:9:51, 1:10:30)
55 - (1:10:42, 1:10:52)
57 - (1:11:32, 1:11:51)
60 - (1:14:27, 1:14:48)
63 - (1:16:18, 1:16:26)
65 - (1:16:36, 1:17:32)
67 - (1:18:36, 1:18:55)
69 - (1:19:18, 1:19:43)
72 - (1:21:50, 1:24:7)
81 - (1:32:30, 1:33:13)
84 - (1:33:36, 1:34:11)
86 - (1:35:09, 1:35:32)
92 - (1:38:2, 1:38:41)
94 - (1:39:45, 1:40:44)
96 - (1:41:20, 1:42:8)
100 - (1:44:3, 1:45:0)
102 - (1:46:49, 1:47:16)
104 - (1:48:45, 1:49:07)
109 - (1:53:33, 1:54:0)
114 - (1:56:24, 1:57:13)
116 - (1:58:44, 2:1:25) - shared
139 - (2:18:1, 2:18:13)
141 - (2:18:22, 2:19:50)
143 - (2:22:5, 2:23:52)
146 - (2:25:17, 2:26:10)
153 - (2:33:38, 2:37:1)
158 - (2:40:0, 2:40:28)
